nome,pais,corrida,ano,horario,tempo,percurso,largada,chegada
Alfredo Carletti,Brasil,10,1934,23:45:00,00:24:10.000,7600,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Nestor Gomes,Brasil,9,1933,23:45:00,00:23:50.000,7600,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Nestor Gomes,Brasil,8,1932,23:40:00,00:25:23.000,8800,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
José Agnello,Brasil,7,1931,23:40:00,00:26:05.000,8200,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Murilo de Araújo,Brasil,6,1930,23:40:00,00:25:35.000,8800,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Heitor Blasi,Itália,5,1929,23:40:00,00:29:11.000,8800,Av. Paulista – Parque Trianon.,A.A. São Paulo – Ponte Pequena
Salim Maluf,Brasil,4,1928,23:40:00,00:29:11.000,8800,Av. Paulista – Parque Trianon.,A.A. São Paulo – Ponte Pequena
Heitor Blasi,Itália,3,1927,23:40:00,00:23:00.000,6200,Av. Paulista – Parque Trianon.,A.A. São Paulo – Ponte Pequena
Jorge Mancebo,Brasil,2,1926,23:45:00,00:22:32.000,6200,Av. Paulista – Parque Trianon.,A.A. São Paulo – Ponte Pequena
Alfredo Gomes,,1,1925,23:40:00,00:23:10.000,6200,Av. Paulista – Parque Trianon.,A.A. São Paulo – Ponte Pequena

